filename,steps,delta_f,ig_signed_sum,rel_error
ARSE_0054.jpg,50,4.06583,4.03434,0.00775
ARSE_0054.jpg,100,4.06583,4.06567,4e-05
ARSE_0054.jpg,200,4.06583,4.06604,5e-05
ARSS_0144.jpg,50,4.51157,4.58572,0.01643
ARSS_0144.jpg,100,4.51157,4.50378,0.00173
ARSS_0144.jpg,200,4.51157,4.51163,1e-05
ARSE_0103.jpg,50,4.01922,4.03767,0.00459
ARSE_0103.jpg,100,4.01922,4.01886,9e-05
ARSE_0103.jpg,200,4.01922,4.01912,2e-05
PRPE_0069.jpg,50,1.61346,1.85954,0.15252
PRPE_0069.jpg,100,1.61346,1.62153,0.005
PRPE_0069.jpg,200,1.61346,1.61351,3e-05
ARSE_0057.jpg,50,4.17196,4.30354,0.03154
ARSE_0057.jpg,100,4.17196,4.18862,0.00399
ARSE_0057.jpg,200,4.17196,4.17203,2e-05
ARSS_0127.jpg,50,3.11729,3.09852,0.00602
ARSS_0127.jpg,100,3.11729,3.11395,0.00107
ARSS_0127.jpg,200,3.11729,3.1174,4e-05
PJNA_0226.jpg,50,3.25298,3.22441,0.00878
PJNA_0226.jpg,100,3.25298,3.25226,0.00022
PJNA_0226.jpg,200,3.25298,3.25298,0.0
PJNA_0068.jpg,50,3.04067,3.04743,0.00222
PJNA_0068.jpg,100,3.04067,3.03971,0.00032
PJNA_0068.jpg,200,3.04067,3.04059,3e-05
ARSS_0200.jpg,50,4.63474,4.55225,0.0178
ARSS_0200.jpg,100,4.63474,4.64,0.00113
ARSS_0200.jpg,200,4.63474,4.6341,0.00014
PRDA_0034.jpg,50,2.68913,2.67137,0.0066
PRDA_0034.jpg,100,2.68913,2.68815,0.00036
PRDA_0034.jpg,200,2.68913,2.6891,1e-05
