filename,class,spearman_r,ssim
ARSE_0054,ARSE_crop,0.7385,0.5402
ARSS_0144,ARSS_crop,0.6288,0.5826
ARSE_0103,ARSE_crop,0.724,0.5889
PRPE_0069,PRPE_crop,0.777,0.6535
ARSE_0057,ARSE_crop,0.7283,0.5884
ARSS_0127,ARSS_crop,0.744,0.6399
PJNA_0226,PJNA_crop,0.7064,0.5617
PJNA_0068,PJNA_crop,0.7476,0.6567
ARSS_0200,ARSS_crop,0.6625,0.3905
PRDA_0034,PRDA_crop,0.7426,0.6008
PRPE_0210,PRPE_crop,0.7794,0.6639
PJNA_0028,PJNA_crop,0.7362,0.6151
ARSE_0088,ARSE_crop,0.6997,0.6099
ARSS_0069,ARSS_crop,0.723,0.6858
PJNA_0022,PJNA_crop,0.757,0.7214
PJNA_0191,PJNA_crop,0.7589,0.6853
PRPE_0020,PRPE_crop,0.7867,0.5651
PRPE_0065,PRPE_crop,0.782,0.7088
ARSE_0107,ARSE_crop,0.7043,0.6475
PJNA_0196,PJNA_crop,0.755,0.6317
PRPE_0213,PRPE_crop,0.7721,0.6392
PRPE_0025,PRPE_crop,0.7877,0.6458
ARSE_0058,ARSE_crop,0.7659,0.5711
PRDA_0145,PRDA_crop,0.6562,0.5476
PRPE_0167,PRPE_crop,0.7626,0.7235
PRDA_0045,PRDA_crop,0.7309,0.6868
PJNA_0100,PJNA_crop,0.7522,0.6607
PJNA_0185,PJNA_crop,0.7683,0.6639
ARSE_0180,ARSE_crop,0.722,0.5784
PRPE_0239,PRPE_crop,0.7873,0.6479
