filename,class,spearman_r,ssim
ARSE_0054,ARSE_crop,0.739,0.6525
ARSS_0144,ARSS_crop,0.6349,0.7384
ARSE_0103,ARSE_crop,0.7265,0.6923
PRPE_0069,PRPE_crop,0.7769,0.7073
ARSE_0057,ARSE_crop,0.7309,0.7192
ARSS_0127,ARSS_crop,0.7464,0.7608
PJNA_0226,PJNA_crop,0.7141,0.7132
PJNA_0068,PJNA_crop,0.7493,0.7437
ARSS_0200,ARSS_crop,0.6676,0.5501
PRDA_0034,PRDA_crop,0.7437,0.6985
PRPE_0210,PRPE_crop,0.7805,0.6838
PJNA_0028,PJNA_crop,0.7377,0.7009
ARSE_0088,ARSE_crop,0.7055,0.7063
ARSS_0069,ARSS_crop,0.7254,0.7569
PJNA_0022,PJNA_crop,0.7591,0.792
PJNA_0191,PJNA_crop,0.7617,0.7847
PRPE_0020,PRPE_crop,0.7876,0.6429
PRPE_0065,PRPE_crop,0.7819,0.7516
ARSE_0107,ARSE_crop,0.7076,0.7429
PJNA_0196,PJNA_crop,0.7564,0.7506
PRPE_0213,PRPE_crop,0.7728,0.6647
PRPE_0025,PRPE_crop,0.7883,0.6748
ARSE_0058,ARSE_crop,0.7676,0.692
PRDA_0145,PRDA_crop,0.6577,0.6406
PRPE_0167,PRPE_crop,0.7622,0.7595
PRDA_0045,PRDA_crop,0.7324,0.7913
PJNA_0100,PJNA_crop,0.755,0.7756
PJNA_0185,PJNA_crop,0.7692,0.711
ARSE_0180,ARSE_crop,0.7241,0.7173
PRPE_0239,PRPE_crop,0.7883,0.6878
