class,class_short,feature,category,spearman_r
ARSE_crop,ARSE,Brightness,Color,0.7773
ARSE_crop,ARSE,Curvature_Laplacian,Edge_Shape,0.3153
ARSE_crop,ARSE,DistanceTransform,Edge_Shape,0.4573
ARSE_crop,ARSE,Edge_Sobel,Edge_Shape,0.0636
ARSE_crop,ARSE,FFT_HighPass,Frequency,0.273
ARSE_crop,ARSE,FFT_LowPass,Frequency,0.7776
ARSE_crop,ARSE,FourierDescriptor,Edge_Shape,-0.4557
ARSE_crop,ARSE,Gabor_f0.1_t0°,Texture,0.2976
ARSE_crop,ARSE,Gabor_f0.1_t135°,Texture,0.128
ARSE_crop,ARSE,Gabor_f0.1_t45°,Texture,0.2627
ARSE_crop,ARSE,Gabor_f0.1_t90°,Texture,0.2128
ARSE_crop,ARSE,Gabor_f0.2_t0°,Texture,0.5572
ARSE_crop,ARSE,Gabor_f0.2_t135°,Texture,0.2691
ARSE_crop,ARSE,Gabor_f0.2_t45°,Texture,0.3888
ARSE_crop,ARSE,Gabor_f0.2_t90°,Texture,0.2436
ARSE_crop,ARSE,Gabor_f0.3_t0°,Texture,0.6511
ARSE_crop,ARSE,Gabor_f0.3_t135°,Texture,0.3969
ARSE_crop,ARSE,Gabor_f0.3_t45°,Texture,0.4563
ARSE_crop,ARSE,Gabor_f0.3_t90°,Texture,0.2552
ARSE_crop,ARSE,LAB_Chroma,Color,0.2578
ARSE_crop,ARSE,LAB_L,Color,0.7742
ARSE_crop,ARSE,LBP,Texture,0.4087
ARSE_crop,ARSE,Saturation_HSV,Color,-0.1102
ARSE_crop,ARSE,Wavelet_L1_D,Frequency,0.229
ARSE_crop,ARSE,Wavelet_L1_H,Frequency,0.0639
ARSE_crop,ARSE,Wavelet_L1_V,Frequency,0.1801
ARSE_crop,ARSE,Wavelet_L2_D,Frequency,0.1963
ARSE_crop,ARSE,Wavelet_L2_H,Frequency,0.0875
ARSE_crop,ARSE,Wavelet_L2_V,Frequency,0.356
ARSS_crop,ARSS,Brightness,Color,0.8438
ARSS_crop,ARSS,Curvature_Laplacian,Edge_Shape,0.3546
ARSS_crop,ARSS,DistanceTransform,Edge_Shape,0.4927
ARSS_crop,ARSS,Edge_Sobel,Edge_Shape,0.2587
ARSS_crop,ARSS,FFT_HighPass,Frequency,0.1453
ARSS_crop,ARSS,FFT_LowPass,Frequency,0.844
ARSS_crop,ARSS,FourierDescriptor,Edge_Shape,-0.4773
ARSS_crop,ARSS,Gabor_f0.1_t0°,Texture,0.4413
ARSS_crop,ARSS,Gabor_f0.1_t135°,Texture,0.3139
ARSS_crop,ARSS,Gabor_f0.1_t45°,Texture,0.4124
ARSS_crop,ARSS,Gabor_f0.1_t90°,Texture,0.3098
ARSS_crop,ARSS,Gabor_f0.2_t0°,Texture,0.5638
ARSS_crop,ARSS,Gabor_f0.2_t135°,Texture,0.3632
ARSS_crop,ARSS,Gabor_f0.2_t45°,Texture,0.4444
ARSS_crop,ARSS,Gabor_f0.2_t90°,Texture,0.3723
ARSS_crop,ARSS,Gabor_f0.3_t0°,Texture,0.6045
ARSS_crop,ARSS,Gabor_f0.3_t135°,Texture,0.4049
ARSS_crop,ARSS,Gabor_f0.3_t45°,Texture,0.5017
ARSS_crop,ARSS,Gabor_f0.3_t90°,Texture,0.4183
ARSS_crop,ARSS,LAB_Chroma,Color,0.6378
ARSS_crop,ARSS,LAB_L,Color,0.842
ARSS_crop,ARSS,LBP,Texture,0.3858
ARSS_crop,ARSS,Saturation_HSV,Color,0.0833
ARSS_crop,ARSS,Wavelet_L1_D,Frequency,0.1664
ARSS_crop,ARSS,Wavelet_L1_H,Frequency,0.1643
ARSS_crop,ARSS,Wavelet_L1_V,Frequency,0.2428
ARSS_crop,ARSS,Wavelet_L2_D,Frequency,0.0567
ARSS_crop,ARSS,Wavelet_L2_H,Frequency,0.1655
ARSS_crop,ARSS,Wavelet_L2_V,Frequency,0.293
PJNA_crop,PJNA,Brightness,Color,0.7819
PJNA_crop,PJNA,Curvature_Laplacian,Edge_Shape,0.5729
PJNA_crop,PJNA,DistanceTransform,Edge_Shape,0.6568
PJNA_crop,PJNA,Edge_Sobel,Edge_Shape,0.2301
PJNA_crop,PJNA,FFT_HighPass,Frequency,0.5567
PJNA_crop,PJNA,FFT_LowPass,Frequency,0.7822
PJNA_crop,PJNA,FourierDescriptor,Edge_Shape,-0.5831
PJNA_crop,PJNA,Gabor_f0.1_t0°,Texture,0.3015
PJNA_crop,PJNA,Gabor_f0.1_t135°,Texture,0.1564
PJNA_crop,PJNA,Gabor_f0.1_t45°,Texture,0.2479
PJNA_crop,PJNA,Gabor_f0.1_t90°,Texture,0.322
PJNA_crop,PJNA,Gabor_f0.2_t0°,Texture,0.4637
PJNA_crop,PJNA,Gabor_f0.2_t135°,Texture,0.2877
PJNA_crop,PJNA,Gabor_f0.2_t45°,Texture,0.386
PJNA_crop,PJNA,Gabor_f0.2_t90°,Texture,0.478
PJNA_crop,PJNA,Gabor_f0.3_t0°,Texture,0.5181
PJNA_crop,PJNA,Gabor_f0.3_t135°,Texture,0.3915
PJNA_crop,PJNA,Gabor_f0.3_t45°,Texture,0.4789
PJNA_crop,PJNA,Gabor_f0.3_t90°,Texture,0.5935
PJNA_crop,PJNA,LAB_Chroma,Color,0.803
PJNA_crop,PJNA,LAB_L,Color,0.7838
PJNA_crop,PJNA,LBP,Texture,0.4408
PJNA_crop,PJNA,Saturation_HSV,Color,0.4364
PJNA_crop,PJNA,Wavelet_L1_D,Frequency,0.1494
PJNA_crop,PJNA,Wavelet_L1_H,Frequency,0.1221
PJNA_crop,PJNA,Wavelet_L1_V,Frequency,0.1004
PJNA_crop,PJNA,Wavelet_L2_D,Frequency,0.3973
PJNA_crop,PJNA,Wavelet_L2_H,Frequency,0.3596
PJNA_crop,PJNA,Wavelet_L2_V,Frequency,0.2926
PRDA_crop,PRDA,Brightness,Color,0.8562
PRDA_crop,PRDA,Curvature_Laplacian,Edge_Shape,0.662
PRDA_crop,PRDA,DistanceTransform,Edge_Shape,0.6872
PRDA_crop,PRDA,Edge_Sobel,Edge_Shape,0.1834
PRDA_crop,PRDA,FFT_HighPass,Frequency,0.5975
PRDA_crop,PRDA,FFT_LowPass,Frequency,0.8564
PRDA_crop,PRDA,FourierDescriptor,Edge_Shape,-0.6427
