,ARSE_crop,ARSS_crop,PJNA_crop,PRDA_crop,PRPE_crop
Brightness,0.5661883187425077,0.5654543059613593,0.42003450373217294,0.49292134715477526,0.4484599386356634
Curvature_Laplacian,0.01691030550291626,0.02983821378364814,0.06202750635682608,0.06852127410505877,0.061630250151026224
DistanceTransform,0.30639581726223514,0.24961590695054972,0.2301725528753587,0.3557756130787225,0.40456251298308965
Edge_Sobel,-0.01584627591149766,0.0627289344121983,0.040471252088126186,-0.012303300658896194,-0.06922485417591917
FFT_HighPass,0.01610399890396216,-0.0004589697400606827,0.07660247804907945,0.049856320976424014,0.04049977380010566
FFT_LowPass,0.5679899994568858,0.5643160083465325,0.4117150494588555,0.49345173043880464,0.44436088433228377
FourierDescriptor,-0.32339436889456963,-0.26435007743250805,-0.22637815202514586,-0.3682154142971202,-0.4142447776799493
Gabor_f0.1_t0°,0.07777796755958523,0.10388336604958738,0.06891025100510405,0.030935933121018343,0.00844821514457701
Gabor_f0.1_t135°,0.03636551117491884,0.11264362541975234,0.07664844760886541,0.03489283984325219,0.0260485064410515
Gabor_f0.1_t45°,0.08421374397307042,0.17145738027372207,0.09403609681136524,0.06714088543405804,-0.014273867933867047
Gabor_f0.1_t90°,0.0688647623123667,0.1289880142114437,0.10076863673376509,0.06374320932043445,0.08218171903205092
Gabor_f0.2_t0°,0.1415684788260424,0.17384526504675138,0.0910464663602747,0.11041925561537659,0.051726419146336244
Gabor_f0.2_t135°,0.11737384792678435,0.12610976137341695,0.11675750464269116,0.07351392428463525,0.03512152707930386
Gabor_f0.2_t45°,0.14953078913334847,0.19975958942494687,0.13000279721878,0.1419355057876731,0.06873756915641895
Gabor_f0.2_t90°,0.10462511424496668,0.15636119813629934,0.10603921913793574,0.06166590338602664,0.05582502083960336
Gabor_f0.3_t0°,0.1693349286709885,0.18041217665550072,0.09469358661715309,0.16064947517084824,0.1177616199177643
Gabor_f0.3_t135°,0.12074813090472139,0.10547333439897716,0.10933144485293199,0.09314075436948199,0.0710351038665984
Gabor_f0.3_t45°,0.13747606901326917,0.1759272685041604,0.11293639621504603,0.1657126328708409,0.10063214263327265
Gabor_f0.3_t90°,0.09416240331101972,0.1361879657946631,0.10142993747747234,0.0812842711717154,0.05739073310831341
LAB_Chroma,0.17061734538467827,0.38029383034472153,0.3662810554663296,0.42016910517755873,0.42344429829076796
LAB_L,0.5646421313243432,0.5676485311718253,0.42160077259906975,0.4948686571699822,0.45261163051894865
LBP,0.014450786713806391,-0.027604577732617486,-0.026136113467586458,0.025943954576004843,0.02418843735669987
Saturation_HSV,-0.3257057499362961,-0.236309282652347,-0.0948602191734994,-0.04104023873606786,0.03212364384099289
Wavelet_L1_D,0.09701787370743385,0.12954449825328368,0.12199141784473921,0.11778166710292236,0.07660029858026318
Wavelet_L1_H,0.044284223579209595,0.14297932433975558,0.11243194341729044,0.023624529648597414,-0.003576770496018606
Wavelet_L1_V,0.04361016746243958,0.11374863538098237,0.08191912482169406,0.05278461096260961,0.01144543826704428
Wavelet_L2_D,0.033006564279147464,0.03512114734519872,0.10477849174565558,0.14532099837859289,0.12161121844512114
Wavelet_L2_H,0.07194476874167507,0.12226056287650623,0.11460499318693264,0.07189732176589654,0.04895229919420182
Wavelet_L2_V,0.08509631298983533,0.11484374787314429,0.09694776943080771,0.1390250249104725,0.10928110463807443
