class,feature,category,mean_r,std_r,n,t_stat,p_value,p_fdr,sig_fdr
ARSE_crop,Brightness,Color,0.5662,0.0986,41,36.3261,3.0020828348006776e-32,2.9020134069739885e-31,***
ARSE_crop,Curvature_Laplacian,Edge_Shape,0.0169,0.0844,41,1.2676,0.21228108408119611,0.22304896515777853,
ARSE_crop,DistanceTransform,Edge_Shape,0.3064,0.0755,41,25.6511,1.8825750432425597e-26,1.2547249957402827e-25,***
ARSE_crop,Edge_Sobel,Edge_Shape,-0.0158,0.069,41,-1.4517,0.15438177091968255,0.16339676484199978,
ARSE_crop,FFT_HighPass,Frequency,0.0161,0.0884,41,1.1516,0.25633975712051504,0.26740478260773154,
ARSE_crop,FFT_LowPass,Frequency,0.568,0.0979,41,36.6982,2.0203287698986407e-32,2.2534436279638685e-31,***
ARSE_crop,FourierDescriptor,Edge_Shape,-0.3234,0.0754,41,-27.1366,2.2317352625228978e-27,1.618008065329101e-26,***
ARSE_crop,Gabor_f0.1_t0°,Texture,0.0778,0.0845,41,5.8182,8.514502154608274e-07,1.1871180888636536e-06,***
ARSE_crop,Gabor_f0.1_t135°,Texture,0.0364,0.0661,41,3.4777,0.001234026943243193,0.0014357768500208473,**
ARSE_crop,Gabor_f0.1_t45°,Texture,0.0842,0.0862,41,6.1752,2.679994664912725e-07,3.847517093191536e-07,***
ARSE_crop,Gabor_f0.1_t90°,Texture,0.0689,0.0873,41,4.9889,1.2264831476621726e-05,1.560000494833465e-05,***
ARSE_crop,Gabor_f0.2_t0°,Texture,0.1416,0.11,41,8.1387,5.131607080386934e-10,9.418772489317792e-10,***
ARSE_crop,Gabor_f0.2_t135°,Texture,0.1174,0.0773,41,9.5999,6.186890124743536e-12,1.3801524124427887e-11,***
ARSE_crop,Gabor_f0.2_t45°,Texture,0.1495,0.1256,41,7.5325,3.437416622706409e-09,5.729027704510682e-09,***
ARSE_crop,Gabor_f0.2_t90°,Texture,0.1046,0.0892,41,7.4155,4.9812042459650384e-09,8.207666087101484e-09,***
ARSE_crop,Gabor_f0.3_t0°,Texture,0.1693,0.1249,41,8.5714,1.3515120602270032e-10,2.648233090985344e-10,***
ARSE_crop,Gabor_f0.3_t135°,Texture,0.1207,0.0756,41,10.096,1.4649985177552065e-12,3.6004200860085588e-12,***
ARSE_crop,Gabor_f0.3_t45°,Texture,0.1375,0.1589,41,5.4734,2.593582602487303e-06,3.4821247903764714e-06,***
ARSE_crop,Gabor_f0.3_t90°,Texture,0.0942,0.1023,41,5.8189,8.495464979300488e-07,1.1871180888636536e-06,***
ARSE_crop,LAB_Chroma,Color,0.1706,0.1615,41,6.6836,5.184534666302597e-08,7.913237122251332e-08,***
ARSE_crop,LAB_L,Color,0.5646,0.1,41,35.726,5.733011471646272e-32,5.195541646179434e-31,***
ARSE_crop,LBP,Texture,0.0145,0.0327,41,2.7973,0.007885121179042593,0.008863120705125396,**
ARSE_crop,Saturation_HSV,Color,-0.3257,0.1274,41,-16.1641,3.88488345919532e-19,2.011814648511862e-18,***
ARSE_crop,Wavelet_L1_D,Frequency,0.097,0.1251,41,4.9059,1.5971787180007186e-05,1.9964733975008983e-05,***
ARSE_crop,Wavelet_L1_H,Frequency,0.0443,0.0859,41,3.2591,0.0022850401738961504,0.00262960972392811,**
ARSE_crop,Wavelet_L1_V,Frequency,0.0436,0.096,41,2.8723,0.006488992986977272,0.007350812368060192,**
ARSE_crop,Wavelet_L2_D,Frequency,0.033,0.1352,41,1.5443,0.13039228008131992,0.13902118096905433,
ARSE_crop,Wavelet_L2_H,Frequency,0.0719,0.1048,41,4.3436,9.316546320440777e-05,0.00011352094255999266,***
ARSE_crop,Wavelet_L2_V,Frequency,0.0851,0.1381,41,3.8985,0.00036049062837821756,0.00043199290177555,***
ARSS_crop,Brightness,Color,0.5655,0.1009,44,36.7472,4.087025147042077e-34,5.926186463211012e-33,***
ARSS_crop,Curvature_Laplacian,Edge_Shape,0.0298,0.0566,44,3.4584,0.001237738663811075,0.0014357768500208473,**
ARSS_crop,DistanceTransform,Edge_Shape,0.2496,0.0758,44,21.5945,1.047457620947534e-24,6.075254201495697e-24,***
ARSS_crop,Edge_Sobel,Edge_Shape,0.0627,0.0746,44,5.5117,1.8671668384713002e-06,2.5541433167767786e-06,***
ARSS_crop,FFT_HighPass,Frequency,-0.0005,0.0685,44,-0.044,0.965135913463201,0.965135913463201,
ARSS_crop,FFT_LowPass,Frequency,0.5643,0.1002,44,36.9125,3.389524613459473e-34,5.926186463211012e-33,***
ARSS_crop,FourierDescriptor,Edge_Shape,-0.2644,0.0751,44,-23.0874,7.392542815564555e-26,4.660516122855915e-25,***
ARSS_crop,Gabor_f0.1_t0°,Texture,0.1039,0.099,44,6.8778,1.934507003448675e-08,3.0161668333339555e-08,***
ARSS_crop,Gabor_f0.1_t135°,Texture,0.1126,0.0904,44,8.1709,2.718883981609468e-10,5.119976329004843e-10,***
ARSS_crop,Gabor_f0.1_t45°,Texture,0.1715,0.103,44,10.9208,5.570741240463941e-14,1.524070716730701e-13,***
ARSS_crop,Gabor_f0.1_t90°,Texture,0.129,0.1061,44,7.969,5.245116410367956e-10,9.50677349379192e-10,***
ARSS_crop,Gabor_f0.2_t0°,Texture,0.1738,0.0972,44,11.7289,5.503671566848945e-15,1.8137099481661297e-14,***
ARSS_crop,Gabor_f0.2_t135°,Texture,0.1261,0.0869,44,9.5139,3.83138549530316e-12,8.960498335789648e-12,***
ARSS_crop,Gabor_f0.2_t45°,Texture,0.1998,0.1,44,13.1028,1.3025409124976075e-16,5.723285827641002e-16,***
ARSS_crop,Gabor_f0.2_t90°,Texture,0.1564,0.0937,44,10.9396,5.274473389784282e-14,1.4707666183052324e-13,***
ARSS_crop,Gabor_f0.3_t0°,Texture,0.1804,0.0946,44,12.5006,6.525319918182903e-16,2.6282538559347802e-15,***
ARSS_crop,Gabor_f0.3_t135°,Texture,0.1055,0.0839,44,8.2463,2.1290532138715447e-10,4.062009421202289e-10,***
ARSS_crop,Gabor_f0.3_t45°,Texture,0.1759,0.1003,44,11.5058,1.0338990274432613e-14,3.1896884889207e-14,***
ARSS_crop,Gabor_f0.3_t90°,Texture,0.1362,0.0689,44,12.9679,1.8614498467337906e-16,7.938536111070578e-16,***
ARSS_crop,LAB_Chroma,Color,0.3803,0.1498,44,16.6435,2.3507917984605374e-20,1.2624622621362145e-19,***
ARSS_crop,LAB_L,Color,0.5676,0.1005,44,37.0289,2.972316104783387e-34,5.926186463211012e-33,***
ARSS_crop,LBP,Texture,-0.0276,0.0352,44,-5.144,6.307993056649207e-06,8.240171110037252e-06,***
ARSS_crop,Saturation_HSV,Color,-0.2363,0.1196,44,-12.9514,1.9449294179831017e-16,8.057564731644278e-16,***
ARSS_crop,Wavelet_L1_D,Frequency,0.1295,0.1112,44,7.6385,1.5504559238703213e-09,2.725913766355895e-09,***
ARSS_crop,Wavelet_L1_H,Frequency,0.143,0.0902,44,10.3939,2.6375265844877676e-13,6.709497451767128e-13,***
ARSS_crop,Wavelet_L1_V,Frequency,0.1137,0.0975,44,7.6516,1.4846485174217031e-09,2.657704136125271e-09,***
ARSS_crop,Wavelet_L2_D,Frequency,0.0351,0.0772,44,2.9837,0.004680584726241452,0.005343974687441028,**
ARSS_crop,Wavelet_L2_H,Frequency,0.1223,0.0867,44,9.2483,8.7554013065129e-12,1.8669605727123098e-11,***
ARSS_crop,Wavelet_L2_V,Frequency,0.1148,0.1015,44,7.4216,3.172233652595933e-09,5.3485334840280264e-09,***
PJNA_crop,Brightness,Color,0.42,0.0811,46,34.7539,3.7600133694671235e-34,5.926186463211012e-33,***
PJNA_crop,Curvature_Laplacian,Edge_Shape,0.062,0.0466,46,8.92,1.644244484878576e-11,3.455296381266573e-11,***
PJNA_crop,DistanceTransform,Edge_Shape,0.2302,0.1151,46,13.4203,2.4420855721560548e-17,1.1803413598754266e-16,***
PJNA_crop,Edge_Sobel,Edge_Shape,0.0405,0.057,46,4.7616,2.025426869195126e-05,2.5101444105409683e-05,***
PJNA_crop,FFT_HighPass,Frequency,0.0766,0.0439,46,11.7033,3.013751825235056e-15,1.0404619396644836e-14,***
PJNA_crop,FFT_LowPass,Frequency,0.4117,0.0833,46,33.1393,2.9559087258365867e-33,3.8964251386027736e-32,***
PJNA_crop,FourierDescriptor,Edge_Shape,-0.2264,0.1155,46,-13.1428,5.1854438464090365e-17,2.425449541062291e-16,***
PJNA_crop,Gabor_f0.1_t0°,Texture,0.0689,0.0729,46,6.3452,9.579888965580784e-08,1.4320452577414572e-07,***
PJNA_crop,Gabor_f0.1_t135°,Texture,0.0766,0.0748,46,6.8712,1.5822413912115753e-08,2.493750018757374e-08,***
PJNA_crop,Gabor_f0.1_t45°,Texture,0.094,0.0674,46,9.3603,3.955326532383265e-12,9.103529320564658e-12,***
PJNA_crop,Gabor_f0.1_t90°,Texture,0.1008,0.0736,46,9.1796,7.079956010108834e-12,1.5322292857698223e-11,***
PJNA_crop,Gabor_f0.2_t0°,Texture,0.091,0.0546,46,11.1763,1.425142917035005e-14,4.3051192285432447e-14,***
PJNA_crop,Gabor_f0.2_t135°,Texture,0.1168,0.0675,46,11.6006,4.0679527303839115e-15,1.3717515021062027e-14,***
PJNA_crop,Gabor_f0.2_t45°,Texture,0.13,0.0635,46,13.7231,1.0850686054621884e-17,5.425343027310942e-17,***
PJNA_crop,Gabor_f0.2_t90°,Texture,0.106,0.0733,46,9.6994,1.3408675053776236e-12,3.352168763444059e-12,***
PJNA_crop,Gabor_f0.3_t0°,Texture,0.0947,0.0539,46,11.7888,2.350016886449294e-15,8.311035330125551e-15,***
PJNA_crop,Gabor_f0.3_t135°,Texture,0.1093,0.0668,46,10.983,2.542593172851255e-14,7.524000205376163e-14,***
PJNA_crop,Gabor_f0.3_t45°,Texture,0.1129,0.0623,46,12.1633,7.993856189571578e-16,3.1327274256429157e-15,***
PJNA_crop,Gabor_f0.3_t90°,Texture,0.1014,0.0768,46,8.857,2.0197365836686565e-11,4.0675250643327113e-11,***
PJNA_crop,LAB_Chroma,Color,0.3663,0.0773,46,31.7882,1.784510825752791e-32,2.156283914451289e-31,***
PJNA_crop,LAB_L,Color,0.4216,0.0811,46,34.8931,3.1609730542219013e-34,5.926186463211012e-33,***
PJNA_crop,LBP,Texture,-0.0261,0.017,46,-10.2965,2.0656170861567453e-13,5.348472812370144e-13,***
PJNA_crop,Saturation_HSV,Color,-0.0949,0.0947,46,-6.716,2.690356628244213e-08,4.1500182031426695e-08,***
PJNA_crop,Wavelet_L1_D,Frequency,0.122,0.0636,46,12.8675,1.10515447968208e-16,5.007731236059425e-16,***
PJNA_crop,Wavelet_L1_H,Frequency,0.1124,0.0624,46,12.079,1.017432732558626e-15,3.782762723615404e-15,***
PJNA_crop,Wavelet_L1_V,Frequency,0.0819,0.0571,46,9.6243,1.7017323269862743e-12,4.11251979021683e-12,***
PJNA_crop,Wavelet_L2_D,Frequency,0.1048,0.065,46,10.8125,4.25334449293111e-14,1.209284218578453e-13,***
PJNA_crop,Wavelet_L2_H,Frequency,0.1146,0.071,46,10.8233,4.1163980319516436e-14,1.1937554292659766e-13,***
PJNA_crop,Wavelet_L2_V,Frequency,0.0969,0.0575,46,11.3061,9.686814443062677e-15,3.053452378791496e-14,***
PRDA_crop,Brightness,Color,0.4929,0.1077,46,30.7033,7.960151335252064e-32,6.412344131175274e-31,***
PRDA_crop,Curvature_Laplacian,Edge_Shape,0.0685,0.0646,46,7.114,6.906747968134559e-09,1.1127538393105677e-08,***
PRDA_crop,DistanceTransform,Edge_Shape,0.3558,0.1087,46,21.9585,1.1084112915106892e-25,6.696651552877081e-25,***
PRDA_crop,Edge_Sobel,Edge_Shape,-0.0123,0.0723,46,-1.1418,0.2595885281840046,0.268859547047719,
PRDA_crop,FFT_HighPass,Frequency,0.0499,0.0589,46,5.6772,9.387731701964508e-07,1.2964010445570033e-06,***
PRDA_crop,FFT_LowPass,Frequency,0.4935,0.11,46,30.0929,1.8857846611337107e-31,1.4391514519178317e-30,***
PRDA_crop,FourierDescriptor,Edge_Shape,-0.3682,0.1078,46,-22.9135,1.903720683192153e-26,1.2547249957402827e-25,***
PRDA_crop,Gabor_f0.1_t0°,Texture,0.0309,0.0795,46,2.6113,0.012213056303453795,0.013622255107698463,*
PRDA_crop,Gabor_f0.1_t135°,Texture,0.0349,0.0945,46,2.4766,0.01708824827305516,0.01891447327933586,*
PRDA_crop,Gabor_f0.1_t45°,Texture,0.0671,0.0838,46,5.3734,2.6287531029841024e-06,3.4969651369972008e-06,***
PRDA_crop,Gabor_f0.1_t90°,Texture,0.0637,0.1116,46,3.8331,0.0003904255235690215,0.0004640303353894108,***
PRDA_crop,Gabor_f0.2_t0°,Texture,0.1104,0.0906,46,8.1759,1.914339032309282e-10,3.7010554624646113e-10,***
PRDA_crop,Gabor_f0.2_t135°,Texture,0.0735,0.0693,46,7.1146,6.8932773962484505e-09,1.1127538393105677e-08,***
PRDA_crop,Gabor_f0.2_t45°,Texture,0.1419,0.0784,46,12.1419,8.497704436755688e-16,3.2425451140251966e-15,***
PRDA_crop,Gabor_f0.2_t90°,Texture,0.0617,0.0847,46,4.886,1.3432636774473014e-05,1.693680288955293e-05,***
PRDA_crop,Gabor_f0.3_t0°,Texture,0.1606,0.095,46,11.3435,8.67003259198089e-15,2.7936771685271755e-14,***
PRDA_crop,Gabor_f0.3_t135°,Texture,0.0931,0.068,46,9.1854,6.94692661073006e-12,1.5262187250846343e-11,***
PRDA_crop,Gabor_f0.3_t45°,Texture,0.1657,0.0932,46,11.9315,1.5547128135158878e-15,5.635833948995094e-15,***
PRDA_crop,Gabor_f0.3_t90°,Texture,0.0813,0.0724,46,7.5345,1.6543727753726552e-09,2.82216532269453e-09,***
PRDA_crop,LAB_Chroma,Color,0.4202,0.1375,46,20.4917,1.886075652651868e-24,1.0518498832096956e-23,***
PRDA_crop,LAB_L,Color,0.4949,0.1081,46,30.7097,7.888538353264604e-32,6.412344131175274e-31,***
PRDA_crop,LBP,Texture,0.0259,0.0283,46,6.1491,1.874895279044675e-07,2.7460587420351296e-07,***
PRDA_crop,Saturation_HSV,Color,-0.041,0.1208,46,-2.2781,0.02751810497521199,0.03000094151432886,*
PRDA_crop,Wavelet_L1_D,Frequency,0.1178,0.0911,46,8.6727,3.694042603984968e-11,7.337481884627677e-11,***
PRDA_crop,Wavelet_L1_H,Frequency,0.0236,0.0946,46,1.6759,0.10069104233249133,0.10814963806082403,
PRDA_crop,Wavelet_L1_V,Frequency,0.0528,0.0909,46,3.8947,0.00032312534331272363,0.00039044312316954106,***
PRDA_crop,Wavelet_L2_D,Frequency,0.1453,0.104,46,9.3733,3.794444551746896e-12,8.960498335789648e-12,***
PRDA_crop,Wavelet_L2_H,Frequency,0.0719,0.0801,46,6.018,2.9360837731230347e-07,4.1738445794396085e-07,***
PRDA_crop,Wavelet_L2_V,Frequency,0.139,0.1047,46,8.9092,1.7032596272276584e-11,3.5281806564001496e-11,***
PRPE_crop,Brightness,Color,0.4485,0.0717,48,42.8667,2.4873440186031263e-39,9.249924029930366e-38,***
PRPE_crop,Curvature_Laplacian,Edge_Shape,0.0616,0.0565,48,7.4755,1.5603506386726847e-09,2.725913766355895e-09,***
PRPE_crop,DistanceTransform,Edge_Shape,0.4046,0.0613,48,45.2544,2.065166812072096e-40,1.4972459387522695e-38,***
PRPE_crop,Edge_Sobel,Edge_Shape,-0.0692,0.0689,48,-6.8876,1.2103493914332781e-08,1.928578700635443e-08,***
PRPE_crop,FFT_HighPass,Frequency,0.0405,0.0518,48,5.3615,2.4538240278444484e-06,3.3252755517518223e-06,***
PRPE_crop,FFT_LowPass,Frequency,0.4444,0.0762,48,40.0014,5.900768713542201e-38,1.7112229269272383e-36,***
PRPE_crop,FourierDescriptor,Edge_Shape,-0.4142,0.0605,48,-46.907,3.96636864174832e-41,5.7512345305350645e-39,***
PRPE_crop,Gabor_f0.1_t0°,Texture,0.0084,0.0752,48,0.7701,0.44512230592730667,0.4513477927234928,
PRPE_crop,Gabor_f0.1_t135°,Texture,0.026,0.0747,48,2.3893,0.02094711161266946,0.023010084726038424,*
PRPE_crop,Gabor_f0.1_t45°,Texture,-0.0143,0.09,48,-1.0878,0.2822413392598106,0.29024818576363504,
PRPE_crop,Gabor_f0.1_t90°,Texture,0.0822,0.1063,48,5.2979,3.05226632758391e-06,4.0234419772697e-06,***
PRPE_crop,Gabor_f0.2_t0°,Texture,0.0517,0.0723,48,4.9016,1.1724568807262731e-05,1.5044800681885806e-05,***
PRPE_crop,Gabor_f0.2_t135°,Texture,0.0351,0.0646,48,3.7266,0.0005202495427891584,0.0006133023065400647,***
PRPE_crop,Gabor_f0.2_t45°,Texture,0.0687,0.0778,48,6.0548,2.2235294476598387e-07,3.224117699106766e-07,***
PRPE_crop,Gabor_f0.2_t90°,Texture,0.0558,0.0756,48,5.0624,6.808806547239377e-06,8.814972762050978e-06,***
PRPE_crop,Gabor_f0.3_t0°,Texture,0.1178,0.0788,48,10.2491,1.4390776126409148e-13,3.7939318878715027e-13,***
PRPE_crop,Gabor_f0.3_t135°,Texture,0.071,0.0624,48,7.7996,5.079587159413016e-10,9.418772489317792e-10,***
PRPE_crop,Gabor_f0.3_t45°,Texture,0.1006,0.0757,48,9.1122,5.8919572799525645e-12,1.334896571239253e-11,***
PRPE_crop,Gabor_f0.3_t90°,Texture,0.0574,0.0628,48,6.2665,1.0622072219847654e-07,1.5716331345692958e-07,***
PRPE_crop,LAB_Chroma,Color,0.4234,0.0969,48,29.9712,2.772870875089696e-32,2.8719019777714707e-31,***
PRPE_crop,LAB_L,Color,0.4526,0.0724,48,42.8428,2.5517031806704456e-39,9.249924029930366e-38,***
PRPE_crop,LBP,Texture,0.0242,0.0262,48,6.3275,8.582786908302385e-08,1.2963584392748395e-07,***
PRPE_crop,Saturation_HSV,Color,0.0321,0.1032,48,2.1331,0.03816884624631869,0.04130210974415082,*
PRPE_crop,Wavelet_L1_D,Frequency,0.0766,0.0703,48,7.4655,1.6152704875102391e-09,2.788264532011722e-09,***
PRPE_crop,Wavelet_L1_H,Frequency,-0.0036,0.0936,48,-0.2619,0.7945054165351186,0.800022815261057,
PRPE_crop,Wavelet_L1_V,Frequency,0.0114,0.0784,48,1.0011,0.32190838848250264,0.3287092699293161,
PRPE_crop,Wavelet_L2_D,Frequency,0.1216,0.0796,48,10.4733,7.048717044028396e-14,1.892711058118736e-13,***
PRPE_crop,Wavelet_L2_H,Frequency,0.049,0.0736,48,4.5604,3.654863152315333e-05,4.491145399031553e-05,***
PRPE_crop,Wavelet_L2_V,Frequency,0.1093,0.0854,48,8.7775,1.8071844679815908e-11,3.690728843060996e-11,***
