,ARSE_crop,ARSS_crop,PJNA_crop,PRDA_crop,PRPE_crop
Brightness,0.0985761304433112,0.10090375949871076,0.08107508314239598,0.1076959505973165,0.07172201845439405
Curvature_Laplacian,0.08437415420121115,0.05657664878589356,0.046647335720628146,0.0646128879893508,0.05652038785157982
DistanceTransform,0.0755452575407865,0.07579880338219706,0.11505326803768604,0.10868740719312177,0.06128771062158294
Edge_Sobel,0.06903640124832496,0.07463021202705315,0.05701609752514446,0.07228511452349885,0.06890362151660233
FFT_HighPass,0.08844598201608433,0.0684561025460607,0.043907853373960554,0.058910108963891185,0.05178610771427176
FFT_LowPass,0.09788714630888733,0.10024984134205621,0.08334122208561368,0.10999846509404104,0.07615693341256484
FourierDescriptor,0.07537136620698882,0.07508251766346126,0.11554537658063885,0.10779953864191484,0.06054359466343814
Gabor_f0.1_t0°,0.08454742934761704,0.09904471041770352,0.07285235102323091,0.07947278878574683,0.07521313987692273
Gabor_f0.1_t135°,0.06613470547729547,0.09040092285147161,0.0748301275485444,0.09451093364738582,0.07474246559116778
Gabor_f0.1_t45°,0.08624997245517295,0.10295219452372516,0.06739217411892882,0.08381873665341756,0.08996043453208384
Gabor_f0.1_t90°,0.08730093884602577,0.10614005793747952,0.07363925292707894,0.11155509159235039,0.10634663099151878
Gabor_f0.2_t0°,0.11001186812635866,0.09719432490845138,0.054647711732642525,0.09059709591407415,0.07234787289217458
Gabor_f0.2_t135°,0.07732795893699604,0.08692106046547593,0.06751681093126506,0.06931518337764687,0.06461087112199788
Gabor_f0.2_t45°,0.12555123108335106,0.09997222186159639,0.063548603936285,0.07841683356853779,0.077829088003385
Gabor_f0.2_t90°,0.08923301001837841,0.09372677466213265,0.07333756243371699,0.08466368444693079,0.07559922671401201
Gabor_f0.3_t0°,0.12494714409477806,0.09463847342376798,0.05388374174615722,0.09500300580760308,0.07877149131546013
Gabor_f0.3_t135°,0.07564143892551958,0.08387219755791786,0.06677763995859995,0.0680214786222073,0.062438017722748734
Gabor_f0.3_t45°,0.1588545616909769,0.1002651714245628,0.062285569577856734,0.09316766623242766,0.07571192773365923
Gabor_f0.3_t90°,0.10234572806302158,0.06886587323284658,0.07682241018975168,0.0723702759004539,0.06278684416315143
LAB_Chroma,0.16145059309059814,0.14983361352523972,0.077295520314165,0.1375476325723462,0.09685939862939207
LAB_L,0.09995841099983402,0.10052485658992859,0.08105283193701865,0.10809868433881764,0.07242633737049425
LBP,0.03267212014041972,0.035189532205086756,0.017027769527427107,0.02830281099328267,0.026207618748494515
Saturation_HSV,0.12743921195746602,0.11964636636291393,0.09474962747343794,0.12084759939789283,0.10324396250059836
Wavelet_L1_D,0.12507225577871228,0.11121103503279968,0.06359782005538754,0.09110215052808922,0.07034299278114736
Wavelet_L1_H,0.08593806345994921,0.09020468243737742,0.062440231994400644,0.09456234235822425,0.09361021862701789
Wavelet_L1_V,0.09602443431266398,0.09748250409477537,0.057097905791516156,0.09091490427291604,0.0783803235963092
Wavelet_L2_D,0.1351760722928498,0.07718866164653168,0.06500570579133935,0.10400239918910449,0.07960467235101233
Wavelet_L2_H,0.10475526154133066,0.08668783381975498,0.07103118677520913,0.0801432631158588,0.07359071842903321
Wavelet_L2_V,0.1380509733703342,0.1014720535792028,0.05752160968475744,0.10467966463781261,0.08535406370980307
