class,feature,category,r_obs,p_perm,sig_perm,null_mean,null_std
ARSE_crop,Brightness,Color,0.5662,1.0,,0.5662,0.0
ARSE_crop,Curvature_Laplacian,Edge_Shape,0.0169,0.827,,0.0169,0.0
ARSE_crop,DistanceTransform,Edge_Shape,0.3064,1.0,,0.3064,0.0
ARSE_crop,Edge_Sobel,Edge_Shape,-0.0158,0.89,,-0.0158,0.0
ARSE_crop,FFT_HighPass,Frequency,0.0161,0.19,,0.0161,0.0
ARSE_crop,FFT_LowPass,Frequency,0.568,1.0,,0.568,0.0
ARSE_crop,FourierDescriptor,Edge_Shape,-0.3234,0.736,,-0.3234,0.0
ARSE_crop,Gabor_f0.1_t0°,Texture,0.0778,0.962,,0.0778,0.0
ARSE_crop,Gabor_f0.1_t135°,Texture,0.0364,0.952,,0.0364,0.0
ARSE_crop,Gabor_f0.1_t45°,Texture,0.0842,0.63,,0.0842,0.0
ARSE_crop,Gabor_f0.1_t90°,Texture,0.0689,0.974,,0.0689,0.0
ARSE_crop,Gabor_f0.2_t0°,Texture,0.1416,0.435,,0.1416,0.0
ARSE_crop,Gabor_f0.2_t135°,Texture,0.1174,0.988,,0.1174,0.0
ARSE_crop,Gabor_f0.2_t45°,Texture,0.1495,0.972,,0.1495,0.0
ARSE_crop,Gabor_f0.2_t90°,Texture,0.1046,0.441,,0.1046,0.0
ARSE_crop,Gabor_f0.3_t0°,Texture,0.1693,0.985,,0.1693,0.0
ARSE_crop,Gabor_f0.3_t135°,Texture,0.1207,0.609,,0.1207,0.0
ARSE_crop,Gabor_f0.3_t45°,Texture,0.1375,0.95,,0.1375,0.0
ARSE_crop,Gabor_f0.3_t90°,Texture,0.0942,0.716,,0.0942,0.0
ARSE_crop,LAB_Chroma,Color,0.1706,0.999,,0.1706,0.0
ARSE_crop,LAB_L,Color,0.5646,0.407,,0.5646,0.0
ARSE_crop,LBP,Texture,0.0145,0.73,,0.0145,0.0
ARSE_crop,Saturation_HSV,Color,-0.3257,0.982,,-0.3257,0.0
ARSE_crop,Wavelet_L1_D,Frequency,0.097,0.77,,0.097,0.0
ARSE_crop,Wavelet_L1_H,Frequency,0.0443,1.0,,0.0443,0.0
ARSE_crop,Wavelet_L1_V,Frequency,0.0436,0.82,,0.0436,0.0
ARSE_crop,Wavelet_L2_D,Frequency,0.033,0.386,,0.033,0.0
ARSE_crop,Wavelet_L2_H,Frequency,0.0719,0.975,,0.0719,0.0
ARSE_crop,Wavelet_L2_V,Frequency,0.0851,0.988,,0.0851,0.0
ARSS_crop,Brightness,Color,0.5655,0.033,*,0.5655,0.0
ARSS_crop,Curvature_Laplacian,Edge_Shape,0.0298,0.324,,0.0298,0.0
ARSS_crop,DistanceTransform,Edge_Shape,0.2496,0.318,,0.2496,0.0
ARSS_crop,Edge_Sobel,Edge_Shape,0.0627,0.901,,0.0627,0.0
ARSS_crop,FFT_HighPass,Frequency,-0.0005,0.955,,-0.0005,0.0
ARSS_crop,FFT_LowPass,Frequency,0.5643,0.958,,0.5643,0.0
ARSS_crop,FourierDescriptor,Edge_Shape,-0.2644,0.872,,-0.2644,0.0
ARSS_crop,Gabor_f0.1_t0°,Texture,0.1039,0.937,,0.1039,0.0
ARSS_crop,Gabor_f0.1_t135°,Texture,0.1126,0.963,,0.1126,0.0
ARSS_crop,Gabor_f0.1_t45°,Texture,0.1715,0.902,,0.1715,0.0
ARSS_crop,Gabor_f0.1_t90°,Texture,0.129,0.082,,0.129,0.0
ARSS_crop,Gabor_f0.2_t0°,Texture,0.1738,0.945,,0.1738,0.0
ARSS_crop,Gabor_f0.2_t135°,Texture,0.1261,0.986,,0.1261,0.0
ARSS_crop,Gabor_f0.2_t45°,Texture,0.1998,0.135,,0.1998,0.0
ARSS_crop,Gabor_f0.2_t90°,Texture,0.1564,0.844,,0.1564,0.0
ARSS_crop,Gabor_f0.3_t0°,Texture,0.1804,0.992,,0.1804,0.0
ARSS_crop,Gabor_f0.3_t135°,Texture,0.1055,0.852,,0.1055,0.0
ARSS_crop,Gabor_f0.3_t45°,Texture,0.1759,0.894,,0.1759,0.0
ARSS_crop,Gabor_f0.3_t90°,Texture,0.1362,0.594,,0.1362,0.0
ARSS_crop,LAB_Chroma,Color,0.3803,0.412,,0.3803,0.0
ARSS_crop,LAB_L,Color,0.5676,0.992,,0.5676,0.0
ARSS_crop,LBP,Texture,-0.0276,0.668,,-0.0276,0.0
ARSS_crop,Saturation_HSV,Color,-0.2363,0.824,,-0.2363,0.0
ARSS_crop,Wavelet_L1_D,Frequency,0.1295,0.875,,0.1295,0.0
