filename,class,true_label,condition,mask_ratio,correct,confidence
ARSE_0179,ARSE_crop,0,full,0.0,1.0,0.9397
ARSE_0179,ARSE_crop,0,ig_mask,0.1,0.0,0.5229
ARSE_0179,ARSE_crop,0,random_mask,0.1,0.0,0.5797
ARSE_0179,ARSE_crop,0,fft_mask,0.1,0.0,0.3949
ARSE_0179,ARSE_crop,0,gabor_mask,0.1,0.0,0.6531
ARSE_0179,ARSE_crop,0,dt_mask,0.1,1.0,0.9362
ARSE_0179,ARSE_crop,0,ig_mask,0.2,0.0,0.9009
ARSE_0179,ARSE_crop,0,random_mask,0.2,0.0,0.704
ARSE_0179,ARSE_crop,0,fft_mask,0.2,0.0,0.8682
ARSE_0179,ARSE_crop,0,gabor_mask,0.2,0.0,0.918
ARSE_0179,ARSE_crop,0,dt_mask,0.2,1.0,0.9297
ARSE_0179,ARSE_crop,0,ig_mask,0.3,0.0,0.9458
ARSE_0179,ARSE_crop,0,random_mask,0.3,0.0,0.7998
ARSE_0179,ARSE_crop,0,fft_mask,0.3,0.0,0.7702
ARSE_0179,ARSE_crop,0,gabor_mask,0.3,0.0,0.9369
ARSE_0179,ARSE_crop,0,dt_mask,0.3,1.0,0.9144
ARSE_0157,ARSE_crop,0,full,0.0,1.0,0.9341
ARSE_0157,ARSE_crop,0,ig_mask,0.1,0.0,0.9307
ARSE_0157,ARSE_crop,0,random_mask,0.1,0.0,0.9339
ARSE_0157,ARSE_crop,0,fft_mask,0.1,0.0,0.8166
ARSE_0157,ARSE_crop,0,gabor_mask,0.1,0.0,0.6169
ARSE_0157,ARSE_crop,0,dt_mask,0.1,1.0,0.9226
ARSE_0157,ARSE_crop,0,ig_mask,0.2,0.0,0.9473
ARSE_0157,ARSE_crop,0,random_mask,0.2,0.0,0.9443
ARSE_0157,ARSE_crop,0,fft_mask,0.2,0.0,0.877
ARSE_0157,ARSE_crop,0,gabor_mask,0.2,0.0,0.8907
ARSE_0157,ARSE_crop,0,dt_mask,0.2,1.0,0.9158
ARSE_0157,ARSE_crop,0,ig_mask,0.3,0.0,0.9358
ARSE_0157,ARSE_crop,0,random_mask,0.3,0.0,0.9486
ARSE_0157,ARSE_crop,0,fft_mask,0.3,0.0,0.8166
ARSE_0157,ARSE_crop,0,gabor_mask,0.3,0.0,0.9426
ARSE_0157,ARSE_crop,0,dt_mask,0.3,1.0,0.7966
PRDA_0015,PRDA_crop,3,full,0.0,1.0,0.8218
PRDA_0015,PRDA_crop,3,ig_mask,0.1,0.0,0.9552
PRDA_0015,PRDA_crop,3,random_mask,0.1,0.2,0.7455
PRDA_0015,PRDA_crop,3,fft_mask,0.1,1.0,0.5538
PRDA_0015,PRDA_crop,3,gabor_mask,0.1,1.0,0.6971
PRDA_0015,PRDA_crop,3,dt_mask,0.1,1.0,0.7134
PRDA_0015,PRDA_crop,3,ig_mask,0.2,0.0,0.9579
PRDA_0015,PRDA_crop,3,random_mask,0.2,0.0,0.9127
PRDA_0015,PRDA_crop,3,fft_mask,0.2,0.0,0.4947
PRDA_0015,PRDA_crop,3,gabor_mask,0.2,0.0,0.7163
PRDA_0015,PRDA_crop,3,dt_mask,0.2,0.0,0.4795
PRDA_0015,PRDA_crop,3,ig_mask,0.3,0.0,0.9486
PRDA_0015,PRDA_crop,3,random_mask,0.3,0.0,0.9355
PRDA_0015,PRDA_crop,3,fft_mask,0.3,0.0,0.4205
PRDA_0015,PRDA_crop,3,gabor_mask,0.3,0.0,0.957
PRDA_0015,PRDA_crop,3,dt_mask,0.3,0.0,0.3759
PRPE_0035,PRPE_crop,4,full,0.0,1.0,0.935
PRPE_0035,PRPE_crop,4,ig_mask,0.1,1.0,0.963
PRPE_0035,PRPE_crop,4,random_mask,0.1,1.0,0.9447
PRPE_0035,PRPE_crop,4,fft_mask,0.1,1.0,0.7959
PRPE_0035,PRPE_crop,4,gabor_mask,0.1,1.0,0.9578
PRPE_0035,PRPE_crop,4,dt_mask,0.1,1.0,0.9378
PRPE_0035,PRPE_crop,4,ig_mask,0.2,1.0,0.9615
PRPE_0035,PRPE_crop,4,random_mask,0.2,1.0,0.9539
PRPE_0035,PRPE_crop,4,fft_mask,0.2,0.0,0.6936
PRPE_0035,PRPE_crop,4,gabor_mask,0.2,1.0,0.9487
PRPE_0035,PRPE_crop,4,dt_mask,0.2,1.0,0.9465
PRPE_0035,PRPE_crop,4,ig_mask,0.3,1.0,0.9562
PRPE_0035,PRPE_crop,4,random_mask,0.3,1.0,0.9586
PRPE_0035,PRPE_crop,4,fft_mask,0.3,0.0,0.5925
PRPE_0035,PRPE_crop,4,gabor_mask,0.3,1.0,0.897
PRPE_0035,PRPE_crop,4,dt_mask,0.3,1.0,0.9403
PJNA_0205,PJNA_crop,2,full,0.0,1.0,0.5806
PJNA_0205,PJNA_crop,2,ig_mask,0.1,0.0,0.9262
PJNA_0205,PJNA_crop,2,random_mask,0.1,0.0,0.7743
