condition,mask_ratio,accuracy,confidence,n
full,0.0,0.9867,0.9009,225
ig_mask,0.1,0.3244,0.7772,225
random_mask,0.1,0.4009,0.7487,225
fft_mask,0.1,0.5822,0.6621,225
gabor_mask,0.1,0.7067,0.7075,225
dt_mask,0.1,0.9689,0.887,225
ig_mask,0.2,0.2356,0.8805,225
random_mask,0.2,0.2653,0.8133,225
fft_mask,0.2,0.3244,0.6981,225
gabor_mask,0.2,0.36,0.8169,225
dt_mask,0.2,0.9289,0.8614,225
ig_mask,0.3,0.2222,0.8927,225
random_mask,0.3,0.2204,0.862,225
fft_mask,0.3,0.2178,0.6791,225
gabor_mask,0.3,0.24,0.8978,225
dt_mask,0.3,0.8622,0.8266,225
